timestamp,timestamp_ns,rtt_ms,ttl,bytes,rssi_dbm,noise_dbm,tx_rate_mbps,channel,phy_mode,mcs,nss
2026-06-11 12:32:16.914,1781173936914827000,9.384000,64,64,-52,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:17.919,1781173937919980000,11.715000,64,64,-50,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:18.924,1781173938925075000,9.246000,64,64,-50,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:19.929,1781173939930155000,8.412000,64,64,-50,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:20.935,1781173940935323000,11.574000,64,64,-51,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:21.940,1781173941940364000,11.494000,64,64,-50,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:22.945,1781173942945260000,9.563000,64,64,-51,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:23.950,1781173943950540000,12.307000,64,64,-52,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:24.955,1781173944955576000,7.162000,64,64,-48,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:25.960,1781173945960703000,3.403000,64,64,-50,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:26.965,1781173946965767000,11.025000,64,64,-50,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:27.966,1781173947966645000,3.485000,64,64,-52,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:28.971,1781173948971794000,11.831000,64,64,-53,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:29.976,1781173949976855000,3.298000,64,64,-52,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:30.981,1781173950981992000,9.643000,64,64,-52,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:31.986,1781173951987108000,5.767000,64,64,-52,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:32.991,1781173952992255000,11.243000,64,64,-52,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:33.997,1781173953997362000,9.540000,64,64,-51,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:35.002,1781173955002396000,9.837000,64,64,-51,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:36.007,1781173956007549000,3.428000,64,64,-50,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:37.012,1781173957012586000,11.639000,64,64,-51,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:38.017,1781173958017695000,11.394000,64,64,-52,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:39.022,1781173959022734000,11.658000,64,64,-50,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:40.027,1781173960027856000,8.893000,64,64,-50,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:41.032,1781173961032776000,10.405000,64,64,-53,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:42.034,1781173962034727000,9.694000,64,64,-52,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:43.039,1781173963039892000,11.494000,64,64,-50,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:44.044,1781173964044954000,11.858000,64,64,-51,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:45.049,1781173965049866000,5.882000,64,64,-51,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:46.054,1781173966055133000,3.445000,64,64,-51,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:47.059,1781173967060209000,7.304000,64,64,-51,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:48.065,1781173968065221000,11.709000,64,64,-52,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:49.066,1781173969066753000,9.175000,64,64,-53,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:50.071,1781173970071856000,12.887000,64,64,-52,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:51.076,1781173971076912000,3.611000,64,64,-51,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:52.081,1781173972081991000,13.068000,64,64,-52,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:32:53.086,1781173973087087000,5.815000,64,64,-52,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
