timestamp,timestamp_ns,rtt_ms,ttl,bytes
2026-06-11 09:47:10.058,1781171230058415000,7.753000,64,64
2026-06-11 09:47:11.063,1781171231063488000,,,
2026-06-11 09:47:12.071,1781171232071728000,,,
2026-06-11 09:47:13.080,1781171233080901000,,,
2026-06-11 09:47:14.092,1781171234092392000,,,
2026-06-11 09:47:15.105,1781171235105769000,,,
2026-06-11 09:47:16.113,1781171236113761000,,,
2026-06-11 09:47:17.121,1781171237121142000,,,
2026-06-11 09:47:18.130,1781171238130611000,258.606000,64,64
2026-06-11 09:47:19.130,1781171239131225000,557.922000,64,64
2026-06-11 09:47:20.135,1781171240136081000,49.162000,64,64
2026-06-11 09:47:21.138,1781171241138530000,360.237000,64,64
2026-06-11 09:47:22.140,1781171242140471000,77.870000,64,64
2026-06-11 09:47:23.140,1781171243140711000,254.622000,64,64
2026-06-11 09:47:24.145,1781171244145815000,,,
2026-06-11 09:47:25.158,1781171245158385000,,,
2026-06-11 09:47:26.170,1781171246170742000,,,
2026-06-11 09:47:27.181,1781171247182197000,271.707000,64,64
2026-06-11 09:47:28.187,1781171248187405000,,,
2026-06-11 09:47:29.198,1781171249198245000,,,
2026-06-11 09:47:30.208,1781171250209024000,,,
2026-06-11 09:47:31.223,1781171251223259000,,,
2026-06-11 09:47:32.236,1781171252236978000,,,
2026-06-11 09:47:33.247,1781171253247603000,,,
2026-06-11 09:47:34.259,1781171254259367000,,,
2026-06-11 09:47:35.271,1781171255271635000,,,
2026-06-11 09:47:36.281,1781171256281119000,,,
2026-06-11 09:47:37.293,1781171257293680000,,,
2026-06-11 09:47:38.305,1781171258305167000,,,
2026-06-11 09:47:39.314,1781171259314980000,,,
2026-06-11 09:47:40.328,1781171260328437000,,,
2026-06-11 09:47:41.338,1781171261338668000,,,
2026-06-11 09:47:42.351,1781171262351120000,,,
2026-06-11 09:47:43.362,1781171263362608000,,,
2026-06-11 09:47:44.370,1781171264370981000,,,
2026-06-11 09:47:45.380,1781171265380645000,,,
2026-06-11 09:47:46.390,1781171266390911000,,,
2026-06-11 09:47:47.402,1781171267402322000,,,
2026-06-11 09:47:48.413,1781171268413775000,,,
2026-06-11 09:47:49.421,1781171269421303000,,,
2026-06-11 09:47:50.430,1781171270430869000,,,
2026-06-11 09:47:51.446,1781171271446448000,,,
2026-06-11 09:47:52.455,1781171272455350000,,,
2026-06-11 09:47:53.463,1781171273463225000,,,
2026-06-11 09:47:54.471,1781171274472159000,,,
