timestamp,timestamp_ns,rtt_ms,ttl,bytes
2026-06-11 05:44:52.001,1781156692001706000,481.808000,64,64
2026-06-11 05:44:53.006,1781156693006369000,,,
2026-06-11 05:44:54.018,1781156694018234000,15.679000,64,64
2026-06-11 05:44:55.023,1781156695023440000,472.361000,64,64
2026-06-11 05:44:56.028,1781156696028520000,240.401000,64,64
2026-06-11 05:44:57.033,1781156697033614000,350.531000,64,64
2026-06-11 05:44:58.038,1781156698038758000,186.404000,64,64
2026-06-11 05:44:59.043,1781156699043832000,,,
2026-06-11 05:45:00.058,1781156700059142000,208.970000,64,64
2026-06-11 05:45:01.059,1781156701059484000,404.484000,64,64
2026-06-11 05:45:02.062,1781156702062447000,,,
2026-06-11 05:45:03.076,1781156703076338000,372.826000,64,64
2026-06-11 05:45:04.076,1781156704076740000,331.184000,64,64
2026-06-11 05:45:05.081,1781156705081879000,492.590000,64,64
2026-06-11 05:45:06.086,1781156706086923000,122.933000,64,64
2026-06-11 05:45:07.091,1781156707092020000,,,
2026-06-11 05:45:08.107,1781156708107387000,132.863000,64,64
2026-06-11 05:45:09.108,1781156709109150000,128.685000,64,64
2026-06-11 05:45:10.113,1781156710114247000,121.379000,64,64
2026-06-11 05:45:11.118,1781156711118120000,280.837000,64,64
2026-06-11 05:45:12.123,1781156712123350000,624.444000,64,64
2026-06-11 05:45:13.128,1781156713128435000,204.532000,64,64
2026-06-11 05:45:14.133,1781156714133510000,,,
2026-06-11 05:45:15.143,1781156715143531000,942.723000,64,64
2026-06-11 05:45:16.147,1781156716147940000,596.072000,64,64
2026-06-11 05:45:17.152,1781156717153236000,894.004000,64,64
2026-06-11 05:45:18.158,1781156718158327000,569.725000,64,64
2026-06-11 05:45:19.163,1781156719163436000,11.330000,64,64
2026-06-11 05:45:20.168,1781156720168433000,742.345000,64,64
2026-06-11 05:45:21.173,1781156721173348000,,,
2026-06-11 05:45:22.183,1781156722183613000,,,
2026-06-11 05:45:23.196,1781156723196476000,,,
2026-06-11 05:45:24.210,1781156724210764000,,,
2026-06-11 05:45:25.222,1781156725222598000,745.646000,64,64
2026-06-11 05:45:26.227,1781156726227630000,235.259000,64,64
2026-06-11 05:45:27.228,1781156727228870000,474.460000,64,64
2026-06-11 05:45:28.233,1781156728233934000,842.618000,64,64
2026-06-11 05:45:29.238,1781156729238988000,,,
2026-06-11 05:45:30.251,1781156730251167000,669.624000,64,64
2026-06-11 05:45:31.256,1781156731256256000,67.857000,64,64
2026-06-11 05:45:32.261,1781156732261415000,595.497000,64,64
2026-06-11 05:45:33.265,1781156733265240000,10.862000,64,64
2026-06-11 05:45:34.270,1781156734270324000,608.461000,64,64
2026-06-11 05:45:35.273,1781156735273861000,268.296000,64,64
2026-06-11 05:45:36.278,1781156736278881000,361.291000,64,64
2026-06-11 05:45:37.283,1781156737284040000,292.497000,64,64
2026-06-11 05:45:38.288,1781156738289103000,157.961000,64,64
2026-06-11 05:45:39.293,1781156739294223000,291.286000,64,64
2026-06-11 05:45:40.295,1781156740295392000,,,
2026-06-11 05:45:41.309,1781156741310020000,323.426000,64,64
2026-06-11 05:45:42.314,1781156742315224000,564.117000,64,64
2026-06-11 05:45:43.316,1781156743316528000,189.246000,64,64
2026-06-11 05:45:44.321,1781156744321603000,29.587000,64,64
2026-06-11 05:45:45.326,1781156745326686000,79.112000,64,64
2026-06-11 05:45:46.331,1781156746331787000,296.965000,64,64
2026-06-11 05:45:47.336,1781156747336883000,338.662000,64,64
2026-06-11 05:45:48.341,1781156748341974000,228.017000,64,64
2026-06-11 05:45:49.346,1781156749347039000,311.188000,64,64
2026-06-11 05:45:50.351,1781156750352163000,,,
2026-06-11 05:45:51.365,1781156751366150000,204.323000,64,64
2026-06-11 05:45:52.371,1781156752371355000,262.389000,64,64
2026-06-11 05:45:53.376,1781156753376494000,621.883000,64,64
2026-06-11 05:45:54.380,1781156754380964000,484.796000,64,64
2026-06-11 05:45:55.385,1781156755386076000,,,
2026-06-11 05:45:56.399,1781156756399936000,48.149000,64,64
2026-06-11 05:45:57.404,1781156757405153000,446.660000,64,64
2026-06-11 05:45:58.409,1781156758410260000,229.918000,64,64
2026-06-11 05:45:59.415,1781156759415272000,81.991000,64,64
2026-06-11 05:46:00.420,1781156760420403000,362.189000,64,64
2026-06-11 05:46:01.425,1781156761425509000,36.870000,64,64
2026-06-11 05:46:02.427,1781156762427296000,399.398000,64,64
2026-06-11 05:46:03.432,1781156763432376000,719.752000,64,64
