timestamp,timestamp_ns,rtt_ms,ttl,bytes,own_ip,router_ip,ssid,bssid,rssi_dbm,noise_dbm,tx_rate_mbps,channel,phy_mode,mcs,nss
2026-06-11 11:48:31.888,1781171311888456000,,,,,,,,,,,,,,
2026-06-11 11:48:32.901,1781171312901225000,,,,,,,,,,,,,,
2026-06-11 11:48:33.914,1781171313914503000,,,,,,,,,,,,,,
2026-06-11 11:48:34.927,1781171314927351000,,,,,,,,,,,,,,
2026-06-11 11:48:35.939,1781171315939937000,,,,,,,,,,,,,,
2026-06-11 11:48:36.952,1781171316953010000,,,,,,,,,,,,,,
2026-06-11 11:48:37.965,1781171317965906000,,,,,,,,,,,,,,
2026-06-11 11:48:38.979,1781171318979208000,,,,,,,,,,,,,,
2026-06-11 11:48:39.988,1781171319988549000,,,,,,,,,,,,,,
2026-06-11 11:48:41.001,1781171321001932000,,,,,,,,,,,,,,
2026-06-11 11:48:42.014,1781171322014688000,,,,,,,,,,,,,,
2026-06-11 11:48:43.027,1781171323028070000,,,,,,,,,,,,,,
2026-06-11 11:48:44.040,1781171324040769000,,,,,,,,,,,,,,
2026-06-11 11:48:45.053,1781171325053259000,,,,,,,,,,,,,,
2026-06-11 11:48:46.065,1781171326065679000,,,,,,,,,,,,,,
2026-06-11 11:48:47.078,1781171327078816000,,,,,,,,,,,,,,
2026-06-11 11:48:48.088,1781171328088620000,,,,,,,,,,,,,,
2026-06-11 11:48:49.101,1781171329101498000,,,,,,,,,,,,,,
2026-06-11 11:48:50.114,1781171330114911000,,,,,,,,,,,,,,
2026-06-11 11:48:51.127,1781171331127504000,,,,,,,,,,,,,,
2026-06-11 11:48:52.140,1781171332140444000,,,,,,,,,,,,,,
2026-06-11 11:48:53.152,1781171333152611000,,,,,,,,,,,,,,
2026-06-11 11:48:54.164,1781171334164594000,,,,,,,,,,,,,,
2026-06-11 11:48:55.178,1781171335178139000,,,,,,,,,,,,,,
2026-06-11 11:48:56.188,1781171336188701000,,,,,,,,,,,,,,
2026-06-11 11:48:57.201,1781171337201934000,,,,,,,,,,,,,,
2026-06-11 11:48:58.214,1781171338214686000,,,,,,,,,,,,,,
2026-06-11 11:48:59.227,1781171339227963000,,,,,,,,,,,,,,
2026-06-11 11:49:00.238,1781171340238510000,,,,,,,,,,,,,,
2026-06-11 11:49:01.247,1781171341247901000,,,,,,,,,,,,,,
2026-06-11 11:49:02.260,1781171342260963000,,,,,,,,,,,,,,
2026-06-11 11:49:03.273,1781171343273904000,,,,,,,,,,,,,,
2026-06-11 11:49:04.288,1781171344288488000,,,,,,,,,,,,,,
2026-06-11 11:49:05.300,1781171345300809000,,,,,,,,,,,,,,
2026-06-11 11:49:06.313,1781171346314084000,,,,,,,,,,,,,,
2026-06-11 11:49:07.326,1781171347326733000,,,,,,,,,,,,,,
2026-06-11 11:49:08.338,1781171348338576000,,,,,,,,,,,,,,
2026-06-11 11:49:09.351,1781171349351481000,,,,,,,,,,,,,,
2026-06-11 11:49:10.364,1781171350364548000,,,,,,,,,,,,,,
2026-06-11 11:49:11.377,1781171351377266000,,,,,,,,,,,,,,
2026-06-11 11:49:12.390,1781171352390377000,,,,,,,,,,,,,,
2026-06-11 11:49:13.400,1781171353401110000,,,,,,,,,,,,,,
2026-06-11 11:49:14.414,1781171354414676000,,,,,,,,,,,,,,
2026-06-11 11:49:15.427,1781171355427703000,,,,,,,,,,,,,,
2026-06-11 11:49:16.437,1781171356437731000,12.762,64.0,64.0,,,,,,,,,,,
2026-06-11 11:49:17.442,1781171357442930000,7.088,64.0,64.0,,,,,,,,,,,
2026-06-11 11:49:18.448,1781171358448329000,649.375,64.0,64.0,,,,,,,,,,,
2026-06-11 11:49:19.453,1781171359453331000,12.383,64.0,64.0,,,,,,,,,,,
2026-06-11 11:49:20.454,1781171360454804000,156.356,64.0,64.0,,,,,,,,,,,
2026-06-11 11:49:21.459,1781171361459930000,658.985,64.0,64.0,,,,,,,,,,,
2026-06-11 11:49:22.462,1781171362463029000,449.232,64.0,64.0,,,,,,,,,,,
2026-06-11 11:49:23.467,1781171363468078000,,,,,,,,,,,,,,
2026-06-11 11:49:24.480,1781171364480482000,,,,,,,,,,,,,,
2026-06-11 11:49:25.493,1781171365493797000,,,,,,,,,,,,,,
2026-06-11 11:49:26.521,1781171366521313000,,,,,,,,,,,,,,
2026-06-11 11:49:27.531,1781171367531210000,,,,,,,,,,,,,,
2026-06-11 11:49:28.543,1781171368543632000,,,,,,,,,,,,,,
2026-06-11 11:49:29.556,1781171369556834000,,,,,,,,,,,,,,
2026-06-11 11:49:30.568,1781171370568968000,,,,,,,,,,,,,,
2026-06-11 11:49:31.580,1781171371580785000,,,,,,,,,,,,,,
2026-06-11 11:49:32.593,1781171372593416000,,,,,,,,,,,,,,
2026-06-11 11:49:33.606,1781171373606450000,,,,,,,,,,,,,,
2026-06-11 11:49:34.619,1781171374619693000,,,,,,,,,,,,,,
2026-06-11 11:49:35.632,1781171375632447000,,,,,,,,,,,,,,
2026-06-11 11:49:36.645,1781171376645949000,,,,,,,,,,,,,,
